name,description,category,organization,country,location,notes_location,start_date,end_date,notes_duration,data_accessibility,accessibility_for_research,project_information_url,data_url
Erfgoed Gezocht 1,"The project consists of two stages. In the first stage, citizen examine elevation maps of the designated area where they identify possible locations for excavations. In the second stage, citizens can actually join and assist archeologists on their excavations. ",Archaeology,Leiden University and Erfgoed Gelderland,The Netherlands,Veluwe,,2019.0,2019,,No direct download,No,https://www.archeologieleeft.nl/archeosuccessen/erfgoed-gezocht/,-
Erfgoed Gezocht 2,"The project consists of two stages. In the first stage, citizen examine elevation maps of the designated area where they identify possible locations for excavations. In the second stage, citizens can actually join and assist archeologists on their excavations. ",Archaeology,Leiden University and Landschap Erfgoed Utrecht,The Netherlands,Utrechtse Heuvelrug,,2020.0,ongoing,,No direct download,No,https://www.universiteitleiden.nl/citizensciencelab/projecten/erfgoed-gezocht,-
Erfgoed Gezocht Junior,Children between the ages of 8 and 12 examine elevation maps of the designated area where they identify possible locations for excavations. ,Archaeology,Leiden University and Rijksdienst voor het Cultureel Erfgoed,The Netherlands,,,2020.0,ongoing,,No direct download,No,https://www.universiteitleiden.nl/nieuws/2020/04/erfgoed-gezocht-junior-kinderen-speuren-vanuit-huis-mee-met-archeologen,-
Grote Griep & Corona Meting,"Continuation of the Grote Griepmeting, now also including corona",Health,Stichting Citizen Science and Science in Action,"The Netherlands, Belgium",,,2021.0,recurring,,Viewable,Yes,https://www.griepencorona.nl/het-project/,https://www.griepencorona.nl/resultaten/
Zoönosenproject,"Citizens take blood samples, throat and cloacal swabs of bird species in order for researchers to be able to investigate how the spread of viruses can be prohibited. ",Health,"Sovon Vogelonderzoek Nederland, Vogeltrekstation and NIOO-KNAW",The Netherlands,,,2017.0,ongoing,Date of start uncertain,Probably viewable,Yes,https://www.jagersvereniging.nl/downloads/bestuurdersdocumenten/telprotocol-zomerganzentelling/,-
Ik heb last-app,Citizens indicate how much their airways bother them and what symptoms they experience to provide further insights into the causes (and aggrevation) of respiratory diseases.,Health,RIVM,The Netherlands,,,2015.0,ongoing,,No direct download ,No,https://www.rivm.nl/rivm/kennis-en-kunde/strategisch-programma-rivm/spr-2015-2018/integrale-risicobeoordeling/ik-heb-nu-last-app,-
MyCardio,"Citizens with cardiovascular diseases or citizens that are at risk of hart problems, report on their health to get more insights into the cause. ",Health,"Henk Duinkerken, Salut and Mijn Data Onze Gezondheid",The Netherlands,,,2019.0,ongoing,,No direct download,No,https://www.mycardio.nl/,-
Tekenradar,"Citizens report whether they or their child have a tick bite, tick bite fever, a red circular rash (Erythema Migrans) and/or Lyme disease, alongside their age.",Health,RIVM and Wageningen University & Research,The Netherlands,,,2012.0,ongoing,,Viewable,Yes,https://www.tekenradar.nl/,https://www.tekenradar.nl/
Grote Griep Meting,Citizens report when they or someone they know gets a cold or the flu. ,Health,"Kennislink, Natuurwetenschap&Techniek, NIBI, CWI, RIVM, de Digitale School, Kennisnet, Nijgh Versluys, NVON and NIVEL","The Netherlands, Belgium",,,2003.0,2017,,No direct download,No,https://www.nemokennislink.nl/publicaties/doe-mee-aan-de-grote-griepmeting/,-
Hooikoortsradar ,Citizens report how much they suffer from hayfever at the moment of reporting on a ten-point scale. ,Health,"FLORA, Buienradar, Elkerliek and Venta",The Netherlands,,,2009.0,ongoing,,Viewable,Yes,https://hooikoortsradar.nl/,https://hooikoortsradar.nl/
Aerosolen,High school students help calibrate the measures of a satellite by measuring the amount of aerosols in an area of the air.,Science,GLOBE Nederland and the KNMI,The Netherlands,,,2004.0,ongoing,,Viewable,Yes,https://globenederland.nl/onderzoeksproject/aerosolen/#info,https://www.globe.gov/globe-data/visualize-and-retrieve-data
SMAP: bodemvochtigheid,High school students measure the soil moisture to help NASA calibrate its satellite that attempts to estimate this from a distance. ,Science,GLOBE Nederand,The Netherlands,,Also Worldwide,2011.0,ongoing,,Viewable,Yes,https://globenederland.nl/onderzoeksproject/smap/#info,https://www.globe.gov/globe-data/visualize-and-retrieve-data
CREDO,Citizens help detect glowing pixels with the cameras of their phones to test one of the theories of what dark matter could be. ,Science,Institute for Nuclear Physics Polish Academy of Sciences,Worldwide,,,2019.0,ongoing,,No direct download,No,https://www.iedereenwetenschapper.be/projects/download-je-eigen-deeltjesdetector,-
